Orden,Campos,Tipo de campo (Tesauro/Libre),Tesauro,Tareas,Observaciones
,Título uniforme,,,,
,Otras formas del título,,,,
,Compositor,,,,
,Libretista,,,,
,Otras personas,,,,"Copista, intérprete, arreglista, mecenas, etc."
,Documentos,,,,
,Género musical,T,,,
,Fecha ,,,,"Pensar si composición/estreno, copia o evento"
,Evento,,,,
,Práctica musical?,,,,
